ArtistKey,artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,mode,count
4757,Cold War Kids,0.032896667,0.48,222457.8333,0.794833333,0.105570015,0.297,-3.999666667,0.04655,101.8906667,0.448833333,55.83333333,1,12
4758,Coldplay,0.218018387,0.442490323,270685.4452,0.593045161,0.130123586,0.18259871,-8.027219355,0.035403226,126.8979161,0.234016774,60.68387097,1,155
4759,Cole Alexander,0.0149,0.581,189703,0.746,0.000276,0.594,-5.495,0.0422,101.881,0.455,58,0,2
4760,Cole Porter,0.869159091,0.486204545,179056.9545,0.261461364,0.065381195,0.286681818,-13.56868182,0.121954545,115.5893636,0.511440909,5.227272727,1,44
4761,Cole Swindell,0.146237391,0.512043478,197630.6522,0.749478261,3.38E-06,0.1752,-4.343782609,0.035956522,116.6988261,0.459565217,60.69565217,1,23
4762,Coleman Hawkins,0.889076923,0.567296703,284597.5165,0.230307692,0.517991747,0.141352747,-14.45412088,0.050901099,107.4414286,0.49832967,16.79120879,1,91
4763,Coleman Hawkins & Roy Eldridge,0.936,0.57,143293,0.00764,9.36E-06,0.739,-30.196,0.0453,84.289,0.509,18,1,2
4764,Coleman Hawkins Quartet,0.89575,0.4115,302023.25,0.13885,0.13595,0.096225,-18.896,0.042275,116.18175,0.289,16.75,1,8
4765,Coleman Hawkins' All Star Octet,0.948,0.764,176787,0.301,0.889,0.111,-14.472,0.121,111.8,0.89,3,0,2
4766,Coleman Hell,0.0621,0.733,213707,0.565,0.000324,0.104,-8.515,0.0367,120.006,0.35,57,1,2
4767,Coleman Trapp,0.00118,0.424,197486,0.921,0.00817,0.328,-3.174,0.0427,174.986,0.0973,65,0,2
4768,Coleridge-Taylor Perkinson,0.45,0.262,421600,0.434,5.94E-06,0.128,-13.102,0.0368,75.027,0.411,38,0,2
4769,Colette,0.948269231,0.661,450930.1538,0.096161538,0.03268255,0.158453846,-20.82296154,0.897038462,96.97965385,0.371384615,0,1,26
4770,Colin Blunstone,0.629,0.334,239666.5,0.29395,0.00097,0.1215,-15.585,0.03875,90.85,0.299,32,1,4
