genres,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode
anime latino,0.190224773,0.479571429,244156.5714,0.888285714,0.003381646,0.285207143,-3.231,0.0551,142.3089286,0.550214286,55.14285714,0,1
anime rock,0.069562097,0.511038515,239654.0091,0.864759804,0.031060094,0.236314706,-4.058578431,0.081312605,126.9748158,0.544164566,58.03711485,11,1
anime score,0.288126942,0.473075385,213411.6998,0.698447502,0.354271628,0.194200931,-8.703170349,0.074407943,124.2231065,0.415548236,51.45574836,7,1
ann arbor indie,0.249605833,0.551883333,216116.4,0.459683333,0.057656002,0.133473333,-8.58315,0.071721667,93.36946667,0.359816667,51.96666667,6,1
anthem emo,0.093579985,0.483165556,206006.9617,0.766395,0.01378996,0.211656333,-5.795172778,0.073449333,130.2972422,0.425287778,50.64,4,1
anthem worship,0.218191133,0.476776916,286369.1905,0.608537019,0.010161532,0.21610284,-7.266430748,0.050867692,120.5522392,0.32742067,52.19920087,11,1
anti-folk,0.419924899,0.502156507,230398.8672,0.546858852,0.121812246,0.188076748,-9.677377756,0.056346176,119.5506079,0.498925298,43.4236153,9,1
antilliaanse folklore,0.9305,0.578,176373.5,0.6635,0.43515,0.09305,-12.53,0.06095,146.3605,0.942,0,3,1
antiviral pop,0.173947468,0.635126302,201968.4386,0.720211671,0.016358728,0.212660529,-6.953785846,0.110230412,130.2831836,0.626197289,53.2747426,2,1
appalachian folk,0.783066023,0.54413543,187810.4873,0.327454861,0.113997736,0.184496592,-13.57824966,0.0588145,121.8348009,0.651397911,19.32741752,9,1
arab folk,0.864360345,0.417851678,379430.1314,0.274994951,0.322252614,0.275404322,-15.10740235,0.060263289,105.1558366,0.476523072,20.3616263,5,1
arab groove,0.952,0.291,207560,0.231,0.382,0.237,-18.808,0.0418,157.168,0.371,38,9,1
arab pop,0.517195562,0.558889546,334352.9951,0.516269034,0.037687739,0.181870513,-10.21609073,0.059680671,126.487644,0.582024655,36.9418146,9,0
arab trap,0.0527,0.752,146945,0.905,0.000242,0.173,-7.072,0.0515,97.993,0.689,73,0,1
arabesk,0.317,0.353,269640,0.672,3.05E-05,0.0962,-5.795,0.04,168.299,0.523,47,8,1
arabic hip hop,0.827,0.366,410777,0.431,0,0.3225,-4.578,0.0369,111.0905,0.416,7,10,1
arabic jazz,0.953,0.3875,382513.5,0.1655,0.1911255,0.1755,-19.238,0.0459,127.1375,0.3735,37.5,9,1
argentine ambient,0.8302,0.4902,163663.8,0.373476,0.624,0.124,-15.3516,0.0377,131.8368,0.3174,55.6,4,0
argentine hardcore,0.01081,0.69,239713.5,0.6535,0.01150665,0.3726,-9.742,0.05555,109.5345,0.655,45.5,6,1
argentine heavy metal,0.05079,0.58075,316772.875,0.792625,0.08168275,0.158825,-6.146625,0.1279375,145.01825,0.505375,52,11,1
argentine hip hop,0.32533,0.7825,289224.8,0.63595,0.000575941,0.11639,-5.5075,0.163663333,140.0963,0.554566667,70.58333333,11,1
argentine indie,0.688709524,0.48227381,268671.8393,0.250839286,0.012930334,0.167030952,-14.74430952,0.039564881,109.0198988,0.304982143,51.35714286,7,1
argentine metal,0.0185,0.62,293360,0.816,0.00741,0.0984,-6.208,0.222,179.992,0.668,49,1,1
argentine punk,0.008,0.641,234610.25,0.58175,0.007193325,0.2873,-11.029,0.042525,126.53275,0.543,51.75,6,1
argentine reggae,0.098091111,0.763325926,249349.9185,0.550214815,0.000270399,0.102362963,-7.716940741,0.071637037,123.0614,0.793251852,59.17777778,6,1
argentine rock,0.228739266,0.592344018,260936.6071,0.61417597,0.040163746,0.191836848,-9.48857466,0.047319501,116.5962019,0.59968624,54.5244391,7,1
arkansas country,0.50688616,0.582943322,186879.9289,0.502752759,0.009080251,0.207031052,-9.651622021,0.054546166,117.3586433,0.619184094,39.43257088,9,1
arkansas indie,0.2365,0.43,265170.5,0.504,0.107665,0.171,-10.1935,0.03125,100.529,0.1685,49.5,3,1
armenian folk,0.994666667,0.135333333,288000,0.134233333,0.897,0.117,-19.12533333,0.046533333,86.14,0.048166667,37,7,1
art pop,0.32838372,0.546772194,254008.3378,0.565144057,0.204877106,0.168192307,-9.511365758,0.060833057,121.0714604,0.433453075,48.7788348,0,1
art punk,0.167405014,0.555799534,220461.2325,0.712296101,0.197676654,0.203344111,-9.356333108,0.073720136,128.4585344,0.626883031,34.39663405,9,1
art rock,0.304550091,0.493668338,280929.1239,0.567581926,0.202168801,0.195434837,-11.43162161,0.055979325,120.2264635,0.50764287,36.29043727,9,1
asbury park indie,0.000969,0.557,226853,0.815,0.00188,0.0932,-5.402,0.0328,88.929,0.445,50,0,1
asian american hip hop,0.146203095,0.7542,186140.1952,0.66512381,0.00057567,0.185432381,-6.820133333,0.113960476,107.8966952,0.491809524,61.32380952,7,1
asmr,0.480967778,0.185222222,203037.3333,0.308333333,0.917111111,0.219444444,-19.46566667,0.064311111,80.81955556,0.027011111,64.88888889,10,0
athens indie,0.182206476,0.524506508,248960.3355,0.610972675,0.27232821,0.169894167,-9.701214881,0.037316282,121.2812104,0.543225516,43.71599206,5,1
atl hip hop,0.124061859,0.733962605,241796.9657,0.655921653,0.013514415,0.201058162,-6.580438241,0.182371007,123.4093831,0.527901921,52.05381025,1,1
atl trap,0.140647648,0.721524245,224752.2751,0.665505532,0.00502036,0.200497261,-6.379520756,0.185226062,124.0515113,0.526451891,57.35407638,0,1
atlanta indie,0.150585,0.58175,239054.3,0.71795,0.1234133,0.27455,-7.73465,0.0561,113.88285,0.56885,52.55,4,1
atmosphere,0.81702449,0.29357483,208973.1293,0.160486735,0.835889048,0.127326871,-22.41491497,0.053341497,95.55453061,0.146209184,53.90816327,9,1
atmospheric black metal,0.001325495,0.263833333,356480,0.768166667,0.768183333,0.326033333,-9.345,0.057366667,111.0275,0.241016667,42.83333333,4,1
atmospheric dnb,0.03,0.683,267107,0.789,0.0105,0.0724,-9.034,0.0602,119.504,0.657,46,2,1
atmospheric post-metal,2.71E-05,0.29,348640,0.717,0.816,0.706,-9.439,0.0556,110.271,0.236,38,9,0
atmospheric post-rock,0.00942,0.869,308613,0.888,0.00111,0.186,-2.731,0.0859,135.023,0.856,0,4,0
atmospheric sludge,2.71E-05,0.29,348640,0.717,0.816,0.706,-9.439,0.0556,110.271,0.236,38,9,0
auckland indie,0.025423025,0.53975,230502.3333,0.707583333,0.023251583,0.313166667,-5.453333333,0.058816667,124.5333333,0.352091667,53.66666667,0,1
audiophile vocal,0.639833333,0.5125,196339.8333,0.264566667,0.00014681,0.1298,-17.35033333,0.0334,84.95633333,0.513433333,32.66666667,2,1
aussietronica,0.121442917,0.662020833,257742.1875,0.690229167,0.139282129,0.14111875,-6.287666667,0.050439583,118.7798333,0.365279167,59.89583333,1,0
austin americana,0.392044375,0.571604167,278978.6146,0.622635417,0.008585393,0.22688125,-7.121666667,0.076841667,112.8602083,0.4863125,50.54166667,7,1
austin hip hop,0.0153,0.902,191975,0.472,0,0.0539,-6.802,0.469,140.046,0.65,59,1,1
austin singer-songwriter,0.467416667,0.541791667,292424.1167,0.638091667,0.033830472,0.307374167,-9.759225,0.063045833,128.8390583,0.544508333,40.24166667,9,1
austindie,0.366068534,0.615537415,243713.0952,0.589482993,0.050473445,0.150894898,-8.334173469,0.059657483,109.3161395,0.570819728,49.20408163,9,1
australian alternative pop,0.646236111,0.547833333,251154.4444,0.30825,0.001500677,0.161127778,-8.47225,0.047888889,121.7226667,0.177577778,65.36111111,5,0
australian alternative rock,0.179329302,0.555585278,220098.2158,0.702579722,0.026328108,0.188125639,-7.934190278,0.061479833,120.7145489,0.56713,44.65694444,4,1
australian children's music,0.601529375,0.76246875,130335.0156,0.363203125,6.39E-06,0.174746875,-13.70879688,0.1051875,123.5072187,0.803359375,43.03125,7,1
australian choir,0.993,0.291,164000,0.0218,3.50E-06,0.0766,-25.876,0.0528,136.837,0.291,18,10,1
australian country,0.398483452,0.58506994,210228.7682,0.500239583,2.13E-05,0.12016625,-10.58712589,0.047840536,108.1338676,0.531704762,45.81190476,2,1
australian dance,0.105524134,0.61008127,247005.2337,0.74327024,0.110149741,0.208307907,-6.443650009,0.067273172,128.5402279,0.455919286,53.35797065,7,0
australian electropop,0.156195249,0.561352206,254342.8954,0.64614444,0.112823773,0.153622953,-7.352462198,0.049346351,136.408364,0.3957159,51.96341973,5,0
australian garage punk,0.207371458,0.418333333,213760.7917,0.779291667,0.356695058,0.170433333,-5.952625,0.062191667,127.1525833,0.421333333,52.79166667,7,1
australian hip hop,0.160657115,0.648089435,232504.0594,0.728395982,0.138764514,0.193696012,-6.420263839,0.084681607,127.0184757,0.581005655,56.19791667,6,1
australian house,0.085592857,0.625857143,295320.2857,0.810357143,0.341962286,0.232735714,-5.363857143,0.044092857,123.2542143,0.550642857,58.78571429,0,1
australian indie,0.173071321,0.593641054,260397.6054,0.690222014,0.0848314,0.161421739,-6.685976887,0.061632871,119.8654022,0.432562769,55.63605697,7,1
australian indie folk,0.348722222,0.525986111,270486.7269,0.545425926,0.036828467,0.160525926,-9.820375,0.104078241,118.3835139,0.384646296,56.2037037,0,1
australian indie rock,0.116,0.529,242007,0.638,0,0.0964,-7.104,0.0301,169.96,0.504,63,0,1
australian indigenous,0.1261,0.527,274546.6667,0.729666667,0.008021667,0.163633333,-6.22,0.033366667,142.7973333,0.605,27,11,1
australian metal,0.00132,0.392,215227,0.966,0.0473,0.239,-3.863,0.172,139.83,0.0764,55,9,1
australian metalcore,0.039404784,0.472112912,223471.536,0.867689286,0.009363722,0.167585769,-5.182076099,0.104675879,128.8420766,0.33120989,47.39175824,9,1
australian pop,0.244277596,0.587882616,239218.6207,0.641748587,0.028254239,0.162201491,-7.151550533,0.063493195,117.5457572,0.475175011,56.13893542,7,1
australian post-hardcore,0.0378,0.594,156027,0.567,0.000354,0.0894,-9.363,0.0374,132.368,0.574,40,9,1
australian post-punk,0.019036667,0.428666667,271304.5,0.565833333,0.311789833,0.2345,-13.57466667,0.045433333,112.7595,0.585833333,28.33333333,7,1
australian psych,0.135517512,0.468864444,266106.7896,0.708874074,0.099861578,0.169633333,-5.945754815,0.095321778,125.6560585,0.389878519,54.94592593,2,1
australian r&b,0.569,0.649,266160,0.435,3.29E-05,0.0969,-7.904,0.1345,105.7485,0.3075,62.5,2,1
australian reggae fusion,0.279058056,0.605909722,277697.9097,0.617972222,0.204411878,0.2303,-7.5753125,0.113527083,109.4733819,0.421947222,54.54166667,11,0
australian rock,0.144096426,0.539254576,235001.5157,0.711731981,0.026965815,0.194317846,-8.441099677,0.054390745,120.9649514,0.604367659,45.03024372,9,1
australian singer-songwriter,0.406,0.654666667,199223.1667,0.550083333,1.15E-05,0.234,-8.880666667,0.03575,123.2463333,0.629416667,49.83333333,7,1
australian ska,9.58E-05,0.312666667,211724.6667,0.994666667,0.0001827,0.1561,-4.356,0.158666667,148.061,0.2289,44.33333333,9,0
australian talent show,0.347,0.416,119160,0.707,0,0.708,-11.573,0.144,198.612,0.691,35,0,1
australian trap,0.147,0.732333333,189606.3333,0.633333333,2.95E-05,0.384333333,-5.054,0.160333333,148.3356667,0.790666667,59.66666667,0,1
australian underground hip hop,0.440333333,0.558333333,240037.6667,0.796,0,0.501666667,-4.892,0.154466667,83.05133333,0.567,55.33333333,0,1
austrian choir,0.950243887,0.246254045,315107.9794,0.273666962,0.346780264,0.2177127,-17.29999913,0.055945105,101.1455763,0.180441956,9.426089355,2,1
austrian pop,0.15,0.523,237014,0.553,0.018245,0.1014,-8.467,0.07875,119.8445,0.1905,49,5,0
austro-german modernism,0.843114583,0.353095052,250497.0456,0.251081354,0.457171523,0.258932682,-17.93939583,0.060422005,103.1983086,0.342378385,3.3984375,5,1
autoharp,0.907666667,0.589,180111.3333,0.154366667,0.004345967,0.3415,-17.29566667,0.046033333,116.297,0.374666667,17,3,1
autonomous black metal,0.00102099,0.261716667,315688.9333,0.808783333,0.778595,0.300613333,-8.7633,0.065013333,116.2769833,0.236951667,38.35,11,1
avant-garde,0.905048337,0.314281716,372971.367,0.17785625,0.557136368,0.173997227,-23.91243953,0.050864581,99.86779443,0.251852486,23.96253968,7,1
avant-garde jazz,0.71052661,0.45331035,350669.2747,0.335903333,0.418446329,0.165297475,-15.48707405,0.066797238,108.3744105,0.443381521,22.56686718,5,1
avant-garde metal,0.000912,0.463,227920,0.98,0.832,0.693,-4.786,0.11,156.001,0.21,45,7,0
axe,0.300807083,0.614958333,246230.8542,0.649479167,0.002131618,0.2137875,-9.157604167,0.045,121.1993125,0.7025625,53.58333333,7,1
azeri traditional,0.869333333,0.505833333,215985.1667,0.265666667,0.0010603,0.235966667,-16.02,0.0592,95.64383333,0.662166667,27.66666667,7,0
azonto,0.10723,0.703958333,196418.6333,0.715058333,0.000426136,0.210575,-5.755758333,0.181238333,110.0622167,0.632925,59.8,11,1
azontobeats,0.358334803,0.457333333,309674,0.692666667,0.037653667,0.099166667,-6.767,0.136233333,133.439,0.772666667,43.33333333,11,1
bachata,0.37318896,0.80525657,245715.1642,0.606228175,0.026443337,0.150985508,-6.656080728,0.047559559,125.1860275,0.819320688,46.5244445,1,1
background music,0.880448944,0.264514286,187364.7794,0.108941806,0.82334546,0.123193929,-25.49510754,0.045492302,91.9889127,0.133838532,62.50952381,5,1
bahamian folk,0.690665741,0.64375,166087.5185,0.657925926,0.380222654,0.233528704,-9.42962037,0.079039815,113.8222315,0.714,4,10,1
bahamian pop,0.064033333,0.815777778,199844.5556,0.875888889,0.000755833,0.1684,-4.581333333,0.085377778,123.2733333,0.843333333,50.11111111,11,0
baiao,0.892321429,0.552214286,149370.6071,0.315378571,0.548757654,0.161014286,-16.30632143,0.051278571,103.7105,0.590571429,4.535714286,11,1
baile pop,0.482562917,0.630052083,214537.4208,0.52731375,0.011732426,0.189124479,-9.674515625,0.071179583,127.3342958,0.553945833,47.815625,11,1
bakersfield sound,0.610662249,0.627069518,163369.7069,0.460527967,0.019600631,0.175772857,-10.61122299,0.040505939,116.1190099,0.732765402,25.55088935,0,1
balearic,0.09904,0.68275,428111,0.7955,0.40578,0.2618,-8.39425,0.0446,125.24275,0.85525,35.5,7,1
balkan brass,0.2241,0.569,238586.5,0.8185,3.87E-06,0.0955,-6.6405,0.0425,95.92,0.564,41.5,7,1
ballet class,0.881,0.289888889,221273.8889,0.063433333,0.722666667,0.202277778,-29.07433333,0.044555556,98.27777778,0.091155556,38.22222222,7,1
ballroom,0.649632455,0.419528307,180579.6637,0.372279972,0.557347956,0.159918426,-12.54527636,0.038142429,115.9102721,0.490666024,22.4837284,5,1
baltic classical,0.82675,0.23675,533545.25,0.01940675,0.0925706,0.09545,-33.47625,0.070025,78.051,0.1042,52.25,5,1
baltimore hip hop,0.178991667,0.79675,196393.25,0.571333333,0,0.209808333,-7.17375,0.18185,111.2355,0.479666667,62.91666667,11,1
baltimore indie,0.207476301,0.455769591,266488.4614,0.71029269,0.214046918,0.230711082,-7.520963743,0.048568275,135.522048,0.389467661,51.39619883,6,1
banda,0.379653042,0.675424615,199657.81,0.610246279,0.015973387,0.155248702,-6.907579813,0.066189295,130.5060028,0.820982934,47.70442183,7,1
banda caliente,0.383793744,0.659352915,216524.3461,0.558932512,0.005087306,0.132628662,-7.520500698,0.084226798,140.5195511,0.863123604,41.28661741,5,1
banda carnavalera,0.453147619,0.658935714,191898.3357,0.54662619,0.05677647,0.168950119,-7.137458333,0.048114762,129.6126262,0.860366667,46.60714286,3,1
bandinhas,0.9602,0.6442,162554.4,0.4242,0.9138,0.1648,-13.1112,0.04138,85.5988,0.8036,4,8,1
bandoneon,0.569507937,0.463444444,173453.6349,0.349968254,0.260253968,0.320247619,-12.68687302,0.049101587,124.4835397,0.581730159,33.74603175,2,1
bangla,0.912599668,0.472279658,203611.8735,0.290219594,0.169867234,0.208780551,-13.0781848,0.051420394,100.4932714,0.480695034,0.426190476,9,1
banjo,0.597759773,0.540362396,185467.3742,0.493532768,0.205126966,0.258063461,-11.86891507,0.062173833,127.038002,0.70931619,28.67022778,7,1
bansuri,0.9502,0.3133,354449.6,0.103665,0.6297,0.12293,-30.6229,0.05611,104.9055,0.3298,42.5,5,1
